Strong,Weak,Active,Passive,Politics
RISE,,RESCUE,,
RIVAL,,RESEARCH,,
ROAR,,RESEARCHER,,
ROBUST,,RESERVE,,
ROOT,,RESIST,,
ROSE,,RESISTANCE,,
ROUGHNESS,,RESOLVE,,
RUGGED,,RESOUND,,
RUIN,,RESTORE,,
RULE,,RESTRAIN,,
SAGACITY,,RESTRICT,,
SAGE,,RESUME,,
SANCTION,,RESUMPTION,,
SATISFY,,RESURRECT,,
SAVE,,RETALIATE,,
SAVVY,,RETARD,,
SAY,,RETIRE,,
SCARE,,RETREAT,,
SCARED,,RETURN,,
SCATTER,,REUNITE,,
SEARCH,,REVEL,,
SECOND,,REVERE,,
SECURE,,REVERENTLY,,
SEIZE,,REVERSE,,
SELF-CONTAINED,,REVERT,,
SENATE,,REVISE,,
SENATOR,,REVITALIZE,,
SENIOR,,REVIVE,,
SENSATIONAL,,REVOKE,,
SENTENCE,,REVOLT,,
SERENE,,REWARD,,
SET,,RID,,
SETTLE,,RIDE,,
SEVERE,,RIDICULE,,
SEVERITY,,RIP,,
SHAPE,,RISE,,
SHARP,,RISK,,
SHATTER,,ROAR,,
SHELL,,ROCK,,
SHELTER,,ROLL,,
SHERIFF,,ROMANTICIZE,,
SHIFT,,ROOF,,
SHOCK,,ROOT,,
SHOOT,,ROPE,,
SHOT,,ROSE,,
SHOULDER,,ROUND,,
SHOW,,ROUSE,,
SHREWD,,ROW,,
SHREWDNESS,,RUB,,
SHRIEK,,RUIN,,
SHUT,,RULE,,
SIGNIFICANCE,,RUMPLE,,
SIGNIFICANT,,RUN,,
SIZABLE,,RUNNER,,
SLAM,,RUSH,,
SLASH,,SABOTAGE,,
SLAYER,,SAFEGUARD,,
SMART,,SAIL,,
SMASH,,SALESMAN,,
SNATCH,,SALESMANSHIP,,
SOAR,,SALESMEN,,
SOBER,,SALUTE,,
SOLID,,SANCTIFY,,
SOLIDARITY,,SANG,,
SOLIDITY,,SAVE,,
SOUND,,SAW,,
SOUNDNESS,,SAY,,
SOURCE,,SCALE,,
SOVEREIGN,,SCAMPER,,
SOVEREIGNTY,,SCARE,,
SPARE,,SCATTER,,
SPEAR,,SCHEDULE,,
SPECTACULAR,,SCOLD,,
SPEED,,SCORCH,,
SPLIT,,SCOWL,,
SPONSOR,,SCRAMBLE,,
SPONTANEOUS,,SCRAPE,,
SPRIGHTLY,,SCRATCH,,
SQUARELY,,SCREW,,
SQUEEZE,,SCRUB,,
STABILITY,,SCRUTINIZE,,
STABILIZE,,SEAL,,
STABLE,,SEARCH,,
STAMP,,SEARCHER,,
STAND,,SEAT,,
STATESMAN,,SECURE,,
STATESMEN,,SEEK,,
STATUESQUE,,SEEKER,,
STAUNCH,,SEETHE,,
STAUNCHNESS,,SEIZE,,
STEADFAST,,SELECT,,
STEADFASTNESS,,SELECTION,,
STEADILY,,SELL,,
STEADINESS,,SEND,,
STEADY,,SENT,,
STEP,,SENTENCE,,
STERN,,SEPARATE,,
STICK,,SERVE,,
STIFF,,SET,,
STIFFLY,,SETTLE,,
STIFLE,,SHAKE,,
STILL,,SHAPE,,
STOICISM,,SHARPEN,,
STOOD,,SHATTER,,
STOP,,SHELL,,
STORM,,SHIELD,,
STRAIGHTFORWARD,,SHIFT,,
STRATEGIC,,SHIP,,
STRENGTH,,SHIRK,,
STRENGTHEN,,SHOCK,,
STRENUOUS,,SHOOT,,
STRICT,,SHOP,,
STRIKE,,SHORTEN,,
STRINGENT,,SHOT,,
STRIP,,SHOULDER,,
STRONG,,SHOUT,,
STRONGHOLD,,SHOVE,,
STRUCK,,SHOW,,
STUBBORN,,SHRED,,
STUBBORNLY,,SHUN,,
STUBBORNNESS,,SHUT,,
STUFF,,SIGH,,
STUN,,SIGN,,
STURDY,,SIGNAL,,
SUAVE,,SIMPLIFY,,
SUBDUE,,SIMULATE,,
SUBSTANTIAL,,SING,,
SUCCESSOR,,SINGER,,
SUFFICE,,SITUATE,,
SUFFICIENT,,SIZE,,
SUMMON,,SKETCH,,
SUPERINTENDENT,,SKI,,
SUPERIOR,,SKIN,,
SUPERIORITY,,SLAM,,
SUPPLEMENT,,SLANDER,,
SUPPLIER,,SLANDERER,,
SUPPLY,,SLAP,,
SUPPORT,,SLASH,,
SUPPRESS,,SLAUGHTER,,
SUPPRESSION,,SLAVE,,
SUPREMACY,,SLAYER,,
SUPREME,,SLICE,,
SURE,,SLIGHT,,
SURPLUS,,SMACK,,
SURROUND,,SMASH,,
SURVEILLANCE,,SMEAR,,
SURVIVAL,,SMOOTH,,
SURVIVE,,SMOTHER,,
SUSTAIN,,SMUGGLE,,
SWIFT,,SNAP,,
SWORD,,SNATCH,,
SYSTEMATIC,,SNEAK,,
SYSTEMATICALLY,,SNEER,,
TAKE,,SNORE,,
TALENT,,SOB,,
TALENTED,,SOLD,,
TALL,,SOLVE,,
TAUT,,SOOTHE,,
TENACIOUS,,SORT,,
TENACITY,,SPANK,,
TEND,,SPEAK,,
TERMINATE,,SPEAR,,
TERRITORIAL,,SPECIFY,,
THICK,,SPEED,,
THICKEN,,SPEND,,
THOROUGH,,SPILL,,
THREAT,,SPLIT,,
THREATEN,,SPOKE,,
THRILL,,SPOKESMAN,,
THRIVE,,SPONSOR,,
THROW,,SPRANG,,
THRUST,,SPRIGHTLY,,
THUNDER,,SPRING,,
THWART,,SPRUNG,,
TILL,,SPUTTER,,
TOGETHER,,SQUANDER,,
TOTAL,,SQUEEZE,,
TOUGH,,STAB,,
TRADITION,,STABILIZE,,
TRADITIONAL,,STAGE,,
TRANSFORM,,STAMMER,,
TRANSFORMATION,,STAMP,,
TRAP,,STAND,,
TREMENDOUS,,STANDARDIZE,,
TRIUMPH,,START,,
TRIUMPHAL,,STATION,,
TRIUMPHANT,,STEAL,,
TROOP,,STEER,,
TRUST,,STEP,,
TRUSTWORTHY,,STICK,,
TYRANNY,,STIFLE,,
ULTIMATE,,STILL,,
UNANIMOUS,,STIMULATE,,
UNCHECKED,,STIMULATION,,
UNCONTESTED,,STING,,
UNDAUNTED,,STOLE,,
UNDENIABLE,,STONE,,
UNDERMINE,,STOOD,,
UNDERTAKE,,STOP,,
UNDERTAKEN,,STORM,,
UNDERTOOK,,STRAGGLE,,
UNDISPUTED,,STRAIN,,
UNDOUBTED,,STRANGLE,,
UNDOUBTEDLY,,STRENGTHEN,,
UNEQUIVOCAL,,STRESS,,
UNFAILING,,STRETCH,,
UNIFICATION,,STRIFE,,
UNIFY,,STRIKE,,
UNISON,,STRIP,,
UNITE,,STRIVE,,
UNITY,,STRIVEN,,
UNIVERSAL,,STROKE,,
UNLEASH,,STROVE,,
UNLIMITED,,STRUCK,,
UNMISTAKABLE,,STRUCTURE,,
UNMITIGATED,,STRUGGLE,,
UNQUESTIONABLE,,STRUT,,
UNQUESTIONED,,STUDY,,
UNTOLD,,STUFF,,
UNWAVERING,,SUBDUE,,
UNWILLINGNESS,,SUBSCRIBE,,
UPPERMOST,,SUBSIDE,,
UPRIGHT,,SUBSIDIZE,,
UPSET,,SUBSIST,,
URGE,,SUBSTANTIATE,,
URGENT,,SUBTRACT,,
UTILITY,,SUBVERT,,
VANTAGE,,SUM,,
VAST,,SUMMARIZE,,
VEHEMENT,,SUMMON,,
VENGEANCE,,SUNDER,,
VICTOR,,SUNG,,
VICTORIOUS,,SUPPLY,,
VICTORY,,SUPPORT,,
VIGILANCE,,SUPPRESS,,
VIGILANT,,SUPPRESSION,,
VIGOR,,SURMISE,,
VIGOROUS,,SURMOUNT,,
VIOLENT,,SURPASS,,
VITAL,,SURPRISE,,
VITALITY,,SURROUND,,
VIVACIOUS,,SURVEILLANCE,,
VIVID,,SURVEY,,
WANT,,SUSPEND,,
WARFARE,,SUSTAIN,,
WARRIOR,,SWAM,,
WAY,,SWEEP,,
WEALTH,,SWEETEN,,
WEALTHY,,SWEPT,,
WEIGHT,,SWIM,,
WELL,,SWIMMER,,
WHACK,,SWING,,
WHIRL,,SWITCH,,
WHOLE,,SWUNG,,
WIDE,,TAIL,,
WIDEN,,TAINT,,
WIDESPREAD,,TAKE,,
WILD,,TALK,,
WIN,,TALKER,,
WINNER,,TAMPER,,
WITHHELD,,TASK,,
WITHHOLD,,TATTER,,
WITHSTAND,,TAUGHT,,
WON,,TAUNT,,
WORLD-FAMOUS,,TEACH,,
WORLD-WIDE,,TEAR,,
WOUND,,TEASE,,
ZEAL,,TELL,,
ZEALOUS,,TEMPT,,
ZEST,,TENACIOUS,,
,,TENACITY,,
,,TEND,,
,,TENNIS,,
,,TERMINATE,,
,,TERRIFY,,
,,TERRORIZE,,
,,TEST,,
,,THICKEN,,
,,THRASH,,
,,THRIVE,,
,,THROW,,
,,THRUST,,
,,THWART,,
,,TIE,,
,,TILL,,
,,TOIL,,
,,TOLD,,
,,TOLERATE,,
,,TORMENT,,
,,TOTAL,,
,,TOUCH,,
,,TRADE,,
,,TRAIL,,
,,TRAMPLE,,
,,TRANSACTION,,
,,TRANSFER,,
,,TRANSFORM,,
,,TRANSFORMATION,,
,,TRANSGRESS,,
,,TRANSLATE,,
,,TRAP,,
,,TRAVEL,,
,,TRAVERSE,,
,,TREAT,,
,,TRESPASS,,
,,TRICK,,
,,TROT,,
,,TRUDGE,,
,,TRY,,
,,TURN,,
,,TWIST,,
,,TYPE,,
,,UNDERMINE,,
,,UNDERTAKE,,
,,UNDERTAKEN,,
,,UNDERTOOK,,
,,UNDID,,
,,UNDO,,
,,UNIFY,,
,,UNITE,,
,,UNLEASH,,
,,UPGRADE,,
,,UPHELD,,
,,UPHOLD,,
,,UPLIFT,,
,,UPROOT,,
,,UPSET,,
,,URGE,,
,,USE,,
,,USURP,,
,,UTILIZE,,
,,VANISH,,
,,VANQUISH,,
,,VENERATE,,
,,VENGEANCE,,
,,VENTURE,,
,,VERIFY,,
,,VETO,,
,,VIE,,
,,VIOLATE,,
,,VIOLATION,,
,,VIOLENT,,
,,VOICE,,
,,VOTE,,
,,VOUCHSAFE,,
,,WAIL,,
,,WAIT,,
,,WAKE,,
,,WALK,,
,,WALKER,,
,,WALLOW,,
,,WARFARE,,
,,WARN,,
,,WARP,,
,,WARRIOR,,
,,WASH,,
,,WATCH,,
,,WAY,,
,,WEAR,,
,,WEEP,,
,,WHACK,,
,,WHIMPER,,
,,WHISTLE,,
,,WIDEN,,
,,WIN,,
,,WIND,,
,,WIPE,,
,,WIRE,,
,,WITHHELD,,
,,WITHHOLD,,
,,WITHSTAND,,
,,WON,,
,,WOO,,
,,WORK,,
,,WORRY,,
,,WOUND,,
,,WRAP,,
,,WRECK,,
,,WRESTLE,,
,,WRETCH,,
,,WRITE,,
,,WRITER,,
,,WRITHE,,
,,YEARN,,
,,YELL,,
,,YELP,,
,,ZEAL,,
